Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,4.7uF,C_0603_1608Metric,161.03802,-92.8028,0.0,top
C10,100n,R_0603_1608Metric,158.6724,-107.6016,-90.0,top
C11,100n,R_0603_1608Metric,155.5712,-105.6108,-90.0,top
C12,10u,R_0603_1608Metric,154.0012,-105.6508,-90.0,top
C13,1nF,C_0603_1608Metric,148.067221,-99.0308,-90.0,top
C14,1nF,C_0603_1608Metric,155.3612,-95.8308,180.0,top
C15,10uF,C_0603,175.73802,-100.6028,-90.0,top
C16,4.7uF,C_0603,176.93802,-100.6028,-90.0,top
C17,100nF,C_0603,178.13802,-100.5828,-90.0,top
C18,100nF,C_0603,179.33802,-100.6028,-90.0,top
C19,100nF,C_0603,180.53802,-100.6028,-90.0,top
C2,10uF,C_0603,161.3112,-88.1308,0.0,top
C20,10uF,C_0603,179.75802,-96.9028,0.0,top
C21,10uF,C_0603,179.75802,-95.7028,0.0,top
C22,100nF,C_0603,179.75802,-98.1028,0.0,top
C23,220pF,C_0603_1608Metric,173.43802,-102.7028,180.0,top
C24,220pF,C_0603_1608Metric,173.43802,-101.2028,180.0,top
C25,100nF,C_0603,174.73802,-90.6028,0.0,top
C26,100nF,C_0603,174.73802,-89.4028,0.0,top
C27,47nF,C_0603,173.13802,-87.1028,180.0,bottom
C28,47nF,C_0603,173.43802,-83.7028,0.0,bottom
C29,10uF,C_0603,165.0912,-84.5308,180.0,top
C3,100nF,C_0603_1608Metric,161.3362,-85.0308,0.0,top
C30,10uF,C_0603,165.0912,-82.1308,180.0,top
C31,10uF,C_0603,165.0912,-88.1308,180.0,top
C32,10uF,C_0603,165.0912,-86.9308,180.0,top
C33,10uF,C_0603,165.0912,-85.7308,180.0,top
C34,100nF,C_0603,165.0912,-83.3308,180.0,top
C35,1nF,C_0603,172.0112,-79.2308,90.0,top
C36,1nF,C_0603,170.8112,-79.2308,90.0,top
C37,10uF,C_0603,170.83802,-90.1028,-90.0,top
C38,10uF,C_0603,169.53802,-90.1028,-90.0,top
C39,4.7uF,C_0603,179.26302,-88.1028,0.0,top
C4,220pF,C_0603_1608Metric,161.03802,-95.8028,180.0,top
C40,10uF,C_0603,174.13802,-78.4028,180.0,top
C41,10uF,C_0603,168.23802,-90.1028,-90.0,top
C42,10uF,C_0603,174.13802,-79.6028,180.0,top
C43,100nF,C_0603,172.13802,-90.1028,-90.0,top
C44,4.7u,R_0603_1608Metric,132.5162,-78.0508,0.0,top
C45,100n,R_0603_1608Metric,129.5162,-78.0508,180.0,top
C46,100nF,C_0603_1608Metric,161.1112,-100.3308,0.0,top
